source_id,source_label,source_parent,level,citizen_category,display_name,rationale,provenance
L2-S149,Entrega de semillas y material vegetativo para fomentar la producción agrícola,Medio ambiente,2,Medio ambiente,Entrega de semillas y material vegetativo para fomentar la producción agrícola,"Se clasifica en Medio ambiente por fallback sobre desc_funcion ('Agropecuaria, Silvicultura, Pesca y Caza').",funcion
L2-O003,Inhibición y sanción de las prácticas de corrupción,Otros,2,Otros,Inhibición y sanción de las prácticas de corrupción,Se clasifica en Otros por fallback sobre desc_funcion ('Otras Industrias y Otros Asuntos Económicos').,funcion
L2-S212,Núcleos Urbanos de Bienestar Emocional (NUBE),Justicia,2,Justicia,Núcleos Urbanos de Bienestar Emocional (NUBE),Se clasifica en Justicia por fallback sobre desc_funcion ('Justicia').,funcion
L2-E120,Atención veterinaria en alcaldías,Medio ambiente,2,Medio ambiente,Atención veterinaria en alcaldías,Se clasifica en Medio ambiente por fallback sobre desc_funcion ('Protección Ambiental').,funcion
L2-E170,Profesionalización Policial,Seguridad,2,Seguridad,Profesionalización Policial,Capacitación y profesionalización de la policía.,explicit
L2-E199,Conciliación Laboral,Justicia,2,Justicia,Conciliación Laboral,Centro de Conciliación Laboral de la CDMX.,explicit
L2-U035,"Programa para la reconstrucción, rehabilitación de viviendas y otras previsiones",Apoyos sociales,2,Apoyos sociales,"Programa para la reconstrucción, rehabilitación de viviendas y otras previsiones",Se clasifica en Apoyos sociales por regla de palabra clave sobre el nombre del programa.,keyword
L2-S208,"Cultivando paz, arte y cultura en Tlalpan",Cultura y deporte,2,Cultura y deporte,"Cultivando paz, arte y cultura en Tlalpan",Se clasifica en Cultura y deporte por regla de palabra clave sobre el nombre del programa.,keyword
L2-E007,Prevención del Delito,Seguridad,2,Seguridad,Prevención del Delito,Se clasifica en Seguridad por fallback sobre desc_funcion ('Asuntos de Orden Público y de Seguridad Interior').,funcion
L2-E193,"Actividades Culturales, Recreativas y Deportivas Para Jóvenes",Cultura y deporte,2,Cultura y deporte,Actividades Juveniles,"Actividades culturales, recreativas y deportivas para jóvenes.",explicit
L2-E189,Servicios de Salud en Alcaldías,Salud,2,Salud,Servicios de Salud en Alcaldías,Servicios médicos prestados en alcaldías.,explicit
L2-S013,Comedores sociales de la Ciudad de México,Apoyos sociales,2,Apoyos sociales,Comedores sociales de la Ciudad de México,Se clasifica en Apoyos sociales por fallback sobre desc_funcion ('Protección Social').,funcion
L2-S027,Mejoramiento de la Vivienda,Apoyos sociales,2,Apoyos sociales,Mejoramiento de la Vivienda,INVI — mejora de vivienda existente.,explicit
L2-E077,Servicios de imprenta de la Ciudad de México,Gobierno y administración,2,Gobierno y administración,Imprenta de la Ciudad de México,Servicios de imprenta.,explicit
L2-E098,Supervisión y promoción de los derechos laborales,Apoyos sociales,2,Apoyos sociales,Supervisión y promoción de los derechos laborales,"Se clasifica en Apoyos sociales por fallback sobre desc_funcion ('Asuntos Económicos, Comerciales y Laborales en General').",funcion
L2-S196,Operación de los centros de atención y cuidado infantil de la alcaldía de Coyoacán,Apoyos sociales,2,Apoyos sociales,Operación de los centros de atención y cuidado infantil de la alcaldía de Coyoacán,Se clasifica en Apoyos sociales por fallback sobre desc_funcion ('Protección Social').,funcion
L2-S200,Cultivando Raíces de Identidad,Apoyos sociales,2,Apoyos sociales,Cultivando Raíces de Identidad,Se clasifica en Apoyos sociales por fallback sobre desc_funcion ('Protección Social').,funcion
L2-K002,Construcción y mejoramiento de la infraestructura educativa,Educación,2,Educación,Construcción y mejoramiento de la infraestructura educativa,Se clasifica en Educación por fallback sobre desc_funcion ('Educación').,funcion
L2-K015,Construcción de infraestructura pública,Calles y banquetas,2,Calles y banquetas,Construcción de infraestructura pública,Se clasifica en Calles y banquetas por fallback sobre desc_funcion ('Vivienda y Servicios a la Comunidad').,funcion
L2-S209,Servidores de la educación,Educación,2,Educación,Servidores de la educación,Se clasifica en Educación por regla de palabra clave sobre el nombre del programa.,keyword
L2-E125,Acciones para proyectos ambientales,Medio ambiente,2,Medio ambiente,Acciones para proyectos ambientales,Se clasifica en Medio ambiente por regla de palabra clave sobre el nombre del programa.,keyword
L2-E067,Operación del Sistema para la Seguridad de las Construcciones de la Ciudad de México,Calles y banquetas,2,Calles y banquetas,Seguridad de las Construcciones,Operación del sistema para la seguridad estructural de edificaciones.,explicit
L2-R003,Ministración para óganos autónomos y de gobierno,Gobierno y administración,2,Gobierno y administración,Órganos Autónomos y de Gobierno,"Ministración a Congreso, Tribunal, IECM, InfoCDMX y otros órganos autónomos.",explicit
L2-S014,Comida para los CAI's,Apoyos sociales,2,Apoyos sociales,Comida para los CAI's,Se clasifica en Apoyos sociales por fallback sobre desc_funcion ('Protección Social').,funcion
L2-E165,Servicios Especiales para Personas con Discapacidad,Apoyos sociales,2,Apoyos sociales,Atención a Personas con Discapacidad,Servicios especiales para personas con discapacidad.,explicit
L2-E083,Valuación de los bienes inmuebles,Gobierno y administración,2,Gobierno y administración,Valuación de los bienes inmuebles,Se clasifica en Gobierno y administración por fallback sobre desc_funcion ('Otros Servicios Generales').,funcion
L2-S139,Apoyo al desarrollo agropecuario sustentable,Medio ambiente,2,Medio ambiente,Apoyo al desarrollo agropecuario sustentable,Se clasifica en Medio ambiente por fallback sobre desc_funcion ('Protección Ambiental').,funcion
L2-E053,Protección ciudadana orden público y paz social,Seguridad,2,Seguridad,Protección ciudadana orden público y paz social,Se clasifica en Seguridad por fallback sobre desc_funcion ('Asuntos de Orden Público y de Seguridad Interior').,funcion
L2-S053,Rescate innovador y participativo en unidades habitacionales,Apoyos sociales,2,Apoyos sociales,Rescate de Unidades Habitacionales,Rehabilitación en unidades habitacionales.,explicit
L2-E048,Producción de Contenido Cultural y Artístico,Cultura y deporte,2,Cultura y deporte,Contenido Cultural y Artístico,Producción de contenido cultural.,explicit
L2-S232,Ayudas para la Comunidad LGBTTTIQ+,Apoyos sociales,2,Apoyos sociales,Ayudas Comunidad LGBTTTIQ+,Apoyos a personas de la comunidad LGBTTTIQ+.,explicit
L2-G009,Dictaminación de las estructuras organizacionales,Seguridad,2,Seguridad,Dictaminación de las estructuras organizacionales,Se clasifica en Seguridad por fallback sobre desc_funcion ('Asuntos de Orden Público y de Seguridad Interior').,funcion
L2-K012,"Rehabilitación, Equipamiento y Construcción de Infraestructura Educativa",Educación,2,Educación,Infraestructura Educativa,"Rehabilitación, equipamiento y construcción de escuelas.",explicit
L2-S042,Programa para el fortalecimiento y apoyo a las comunidades indígenas,Apoyos sociales,2,Apoyos sociales,Programa para el fortalecimiento y apoyo a las comunidades indígenas,Se clasifica en Apoyos sociales por regla de palabra clave sobre el nombre del programa.,keyword
L2-U002,"Agua potable, drenaje y saneamiento",Agua,2,Agua,"Agua potable, drenaje y saneamiento",Se clasifica en Agua por regla de palabra clave sobre el nombre del programa.,keyword
L2-F029,Financiamiento a las MIPYMES,Apoyos sociales,2,Apoyos sociales,Financiamiento a las MIPYMES,"Se clasifica en Apoyos sociales por fallback sobre desc_funcion ('Asuntos Económicos, Comerciales y Laborales en General').",funcion
L2-M001,Actividades de apoyo administrativo,Gobierno y administración,2,Gobierno y administración,Apoyo Administrativo,Actividades de apoyo administrativo — overhead del gobierno.,explicit
